gnis,place_name,state_code,source_url,status
2405463,"City of Shreveport",LA,"https://library.municode.com/la/shreveport, https://www.shreveportla.gov",not_scraped
2404278,"City of Mobile",AL,"https://library.municode.com/al/mobile, http://www.cityofmobile.org/",incomplete_scrape
2409924,"City of Brownsville",TX,"https://library.municode.com/tx/brownsville, http://www.cob.us/",incomplete_scrape
1498555,"City of Newport News",VA,"https://library.municode.com/va/newport_news, https://www.nnva.gov",scraped
2403640,"City of Fort Lauderdale",FL,"https://library.municode.com/fl/fort_lauderdale, https://www.fortlauderdale.gov",not_scraped
2404035,"City of Chattanooga",TN,"https://library.municode.com/tn/chattanooga, https://www.chattanooga.gov",incomplete_scrape
2412045,"City of Tempe",AZ,"https://library.municode.com/az/tempe, https://www.tempe.gov/",not_scraped
2394031,"City of Aurora",IL,https://www.aurora-il.org,not_scraped
2410460,"City of Eugene",OR,"https://eugene.municipal.codes/, https://www.eugene-or.gov/",not_scraped
2410425,"City of Elk Grove",CA,"https://www.codepublishing.com/CA/ElkGrove/, http://www.elkgrovecity.org/",not_scraped
2411764,"City of Salem",OR,"https://library.municode.com/or/salem, https://www.cityofsalem.net/",incomplete_scrape
2411323,"City of Ontario",CA,"https://codelibrary.amlegal.com/codes/ontarioca/latest/overview, http://www.ci.ontario.ca.us",not_scraped
2411514,"City of Rancho Cucamonga",CA,"https://ecode360.com/RA4992, http://www.CityofRC.us",not_scraped
2411301,"City of Oceanside",CA,"https://library.municode.com/ca/oceanside, https://www.ci.oceanside.ca.us/",incomplete_scrape
2411620,"City of Lancaster",CA,"https://library.municode.com/ca/lancaster, https://www.cityoflancasterca.org/",incomplete_scrape
2410568,"City of Garden Grove",CA,"https://ecode360.com/GA4928, https://ggcity.org",not_scraped
2404502,"City of Pembroke Pines",FL,"https://codelibrary.amlegal.com/codes/pembrokepines/latest/overview, http://www.ppines.com",not_scraped
2410526,"City of Fort Collins",CO,"https://library.municode.com/co/fort_collins, http://www.fcgov.com/",not_scraped
2411359,"City of Palmdale",CA,"https://www.codepublishing.com/CA/Palmdale/, http://www.cityofpalmdale.org",not_scraped
2395942,"City of Springfield",MO,"https://library.municode.com/mo/springfield, https://www.springfieldmo.gov/",not_scraped
2404061,"City of Clarksville",TN,"https://library.municode.com/tn/clarksville, http://www.cityofclarksville.com",not_scraped
2411768,"City of Salinas",CA,"https://library.municode.com/ca/salinas, https://www.cityofsalinas.org/Home",incomplete_scrape
2410724,"City of Hayward",CA,"https://library.municode.com/ca/hayward, http://www.hayward-ca.gov",not_scraped
885343,"City of Paterson",NJ,"https://ecode360.com/PA1437, https://www.patersonnj.gov/",not_scraped
1498415,"City of Alexandria",VA,"https://library.municode.com/va/alexandria, http://www.alexandriava.gov/",not_scraped
1672039,Bibb,GA,https://library.municode.com/ga/macon-bibb_county,not_scraped
2410232,"City of Corona",CA,"https://codelibrary.amlegal.com/codes/corona/latest/overview, http://www.ci.corona.ca.us",not_scraped
485601,"City of Kansas City",KS,http://www.wycokck.org/,not_scraped
2411614,"City of Lakewood",CO,"https://library.municode.com/co/lakewood, https://www.lakewood.org",incomplete_scrape
619388,"City of Springfield",MA,http://www.springfieldma.gov/,not_scraped
2412009,"City of Sunnyvale",CA,"https://ecode360.com/SU5020, https://sunnyvale.ca.gov/",not_scraped
2404779,"City of Jackson",MS,"https://library.municode.com/ms/jackson, http://www.jacksonms.gov",incomplete_scrape
2411542,"City of Killeen",TX,"https://library.municode.com/tx/killeen, http://www.ci.killeen.tx.us/",not_scraped
2404719,"City of Hollywood",FL,"https://codelibrary.amlegal.com/codes/hollywood/latest/overview, http://www.hollywoodfl.org",not_scraped
2404342,"City of Murfreesboro",TN,"https://library.municode.com/tn/murfreesboro, https://www.murfreesborotn.gov/",incomplete_scrape
2411380,"City of Pasadena",TX,"https://library.municode.com/tx/pasadena, https://www.pasadenatx.gov/",incomplete_scrape
2409821,"City of Bellevue",WA,"https://bellevue.municipal.codes/, http://www.bellevuewa.gov",not_scraped
2411454,"City of Pomona",CA,"https://library.municode.com/ca/pomona, http://www.ci.pomona.ca.us/",incomplete_scrape
2410455,"City of Escondido",CA,"https://ecode360.com/ES4926, http://www.escondido.org",not_scraped
2395477,"City of Joliet",IL,"https://library.municode.com/il/joliet, https://www.joliet.gov/",incomplete_scrape
2404030,"City of Charleston",SC,https://www.charleston-sc.gov/,not_scraped
2411090,"City of Mesquite",TX,"https://library.municode.com/tx/mesquite, https://www.cityofmesquite.com",incomplete_scrape
2395147,"City of Naperville",IL,"https://library.municode.com/il/naperville, https://www.naperville.il.us/",incomplete_scrape
2396405,"City of Rockford",IL,"https://library.municode.com/il/rockford, https://rockfordil.gov/",incomplete_scrape
2378269,"City of Bridgeport",CT,"https://library.municode.com/ct/bridgeport, http://www.bridgeportct.gov/",incomplete_scrape
979539,"City of Syracuse",NY,http://syrgov.net,not_scraped
2405429,"City of Savannah",GA,"https://library.municode.com/ga/savannah, https://savannahga.gov",not_scraped
2411000,"City of Roseville",CA,"https://ecode360.com/RO4998, http://www.roseville.ca.us",not_scraped
2412087,"City of Torrance",CA,"https://www.codepublishing.com/CA/Torrance/, https://www.torranceca.gov/",not_scraped
2410556,"City of Fullerton",CA,"https://codelibrary.amlegal.com/codes/fullerton/latest/overview, https://www.cityoffullerton.com/",not_scraped
2412016,"City of Surprise",AZ,"https://library.municode.com/az/surprise, http://www.surpriseaz.gov/",scraped
2411057,"City of McAllen",TX,http://www.mcallen.net/,not_scraped
2412064,"City of Thornton",CO,"https://library.municode.com/co/thornton, http://www.cityofthornton.net/",scraped
2412160,"City of Visalia",CA,"https://codelibrary.amlegal.com/codes/visalia/latest/overview, https://www.visalia.city/",not_scraped
485633,"City of Olathe",KS,"https://olathe.municipal.codes/, https://www.olatheks.org",not_scraped
2403676,"City of Gainesville",FL,"https://library.municode.com/fl/gainesville, https://www.gainesvillefl.gov/",not_scraped
2412231,"City of West Valley City",UT,"https://westvalleycity.municipal.codes/, http://www.wvc-ut.gov",not_scraped
2411325,"City of Orange",CA,http://www.cityoforange.org,not_scraped
2410323,"City of Denton",TX,"https://library.municode.com/tx/denton, https://www.cityofdenton.com/",not_scraped
1627213,"City of Warren",MI,"https://library.municode.com/mi/warren, http://www.cityofwarren.org/",incomplete_scrape
2411379,"City of Pasadena",CA,https://www.cityofpasadena.net/,not_scraped
2412162,"City of Waco",TX,"https://library.municode.com/tx/waco, http://www.waco-texas.com/",incomplete_scrape
467567,"City of Cedar Rapids",IA,"https://library.municode.com/ia/cedar_rapids, https://www.cedar-rapids.org",scraped
1086167,"City of Dayton",OH,"https://library.municode.com/oh/dayton, https://www.daytonohio.gov/",scraped
885205,"City of Elizabeth",NJ,"https://library.municode.com/nj/elizabeth, https://www.elizabethnj.org/",incomplete_scrape
1498554,"City of Hampton",VA,"https://library.municode.com/va/hampton, https://hampton.gov/",not_scraped
2404107,"City of Columbia",SC,https://columbiasc.gov/,not_scraped
2410185,"City of Kent",WA,"https://www.codepublishing.com/WA/Kent/, http://www.kentwa.gov/",not_scraped
2378291,"City of Stamford",CT,"https://library.municode.com/ct/stamford, https://www.stamfordct.gov/",incomplete_scrape
2412156,"City of Victorville",CA,"https://library.municode.com/ca/victorville, http://ci.victorville.ca.us",incomplete_scrape
2404275,"City of Miramar",FL,"https://library.municode.com/fl/miramar, https://www.miramarfl.gov/",not_scraped
2404127,"City of Coral Springs",FL,"https://library.municode.com/fl/coral_springs, http://www.coralsprings.org/",not_scraped
1627126,"City of Sterling Heights",MI,"https://codelibrary.amlegal.com/codes/sterlingheights/latest/overview, https://www.sterlingheights.gov/",not_scraped
2378285,"City of New Haven",CT,"https://library.municode.com/ct/new_haven, https://www.newhavenct.gov/",not_scraped
2409992,"City of Carrollton",TX,"https://library.municode.com/tx/carrollton, http://www.cityofcarrollton.com/",incomplete_scrape
2411096,"City of Midland",TX,"https://ecode360.com/MI6651, http://www.midlandtexas.gov",not_scraped
2411267,"City of Norman",OK,"https://library.municode.com/ok/norman, https://www.normanok.gov/",not_scraped
2411816,"City of Santa Clara",CA,"https://www.codepublishing.com/CA/SantaClara/, http://www.santaclaraca.gov/",not_scraped
1804492,Caguas,PR,http://www.caguas.gov.pr/,not_scraped
2412065,"City of Thousand Oaks",CA,"https://codelibrary.amlegal.com/codes/thousandoaks/latest/overview, https://www.toaks.org/",not_scraped
485655,"City of Topeka",KS,"https://topeka.municipal.codes/, http://www.topeka.org/",not_scraped
2411904,"City of Simi Valley",CA,"https://library.municode.com/ca/simi_valley, https://www.simivalley.org/",scraped
2393605,"City of Columbia",MO,"https://library.municode.com/mo/columbia, https://www.como.gov/",incomplete_scrape
2412142,"City of Vallejo",CA,"https://library.municode.com/ca/vallejo, https://www.ci.vallejo.ca.us/",incomplete_scrape
1036030,"City of Fargo",ND,http://ci.fargo.nd.us,not_scraped
2411392,"City of Pearland",TX,"https://library.municode.com/tx/pearland, https://www.pearlandtx.gov/",not_scraped
2410214,"City of Concord",CA,"https://www.codepublishing.com/CA/Concord/, http://www.ci.concord.ca.us",not_scraped
2409657,"City of Abilene",TX,http://www.abilenetx.com/,not_scraped
2409737,"City of Arvada",CO,"https://library.municode.com/co/arvada, http://arvada.org",not_scraped
2409837,"City of Berkeley",CA,"https://www.codepublishing.com/CA/Berkeley/, http://www.ci.berkeley.ca.us/",not_scraped
1625837,"City of Ann Arbor",MI,https://www.a2gov.org/Pages/default.aspx,not_scraped
2395422,"City of Independence",MO,"https://library.municode.com/mo/independence, https://www.independencemo.gov/",incomplete_scrape
2396395,"City of Rochester",MN,"https://library.municode.com/mn/rochester, https://rochestermn.gov",incomplete_scrape
2404854,"City of Lafayette",LA,https://www.lafayettetravel.com/,not_scraped
2378277,"City of Hartford",CT,http://www.hartford.gov,not_scraped
2410193,"City of College Station",TX,"https://library.municode.com/tx/college_station, http://www.cstx.gov/",incomplete_scrape
2409488,"City of Clovis",CA,"https://www.codepublishing.com/CA/Clovis/, http://www.ci.clovis.ca.us",not_scraped
2410474,"City of Fairfield",CA,"https://www.codepublishing.com/CA/Fairfield/, http://www.fairfield.ca.gov",not_scraped
2404463,"City of Palm Bay",FL,"https://codelibrary.amlegal.com/codes/palmbay/latest/overview, https://www.palmbayflorida.org/",not_scraped
2410933,"City of Richardson",TX,"https://library.municode.com/tx/richardson, https://www.cor.net",not_scraped
